"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"CH","2017-05-21","84.2","-2.0972","5.4667","Chris Iannetta",453385,643327,"null","ball",,,,,"13","null","R","L","R","SD","ARI","B","null","null",0,1,2017,"0.9310","-0.1507","-0.8775","0.7630","null","null","null",2,7,"Bot","null","null",,,455104,,"170521_222413",,,,,,,"3.7889","1.9889","null","null","null","82.6620","1489","5.2990",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"55.2000","0.000","0.000","null","null","null","null"
"SI","2017-05-21","89.6","-2.1421","5.4868","Chris Iannetta",453385,643327,"null","foul",,,,,"11","null","R","L","R","SD","ARI","S","null","null",0,0,2017,"1.5447","0.2537","-1.3594","3.3048","null","null","null",2,7,"Bot","null","null",,,455104,,"170521_222355",,,,,,,"3.7235","1.9618","null","null","null","89.0610","2270","5.8850",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.6135","0.000","0.000","null","null","null","null"
"SI","2017-05-21","91.0","-2.1375","5.5842","Chris Iannetta",430947,643327,"field_out","hit_into_play",,,,,"8","Erick Aybar bunt grounds out, catcher Chris Iannetta to first baseman Paul Goldschmidt.  ","R","L","R","SD","ARI","X","2","ground_ball",0,0,2017,"1.2542","0.3025","0.1933","1.9996","null","null","null",1,7,"Bot","124.19","195.66",,,455104,,"170521_222320",,,,,,,"3.2776","1.5339","null","41.0","-39.0000","90.2830","2177","5.6650",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.8335","0.139","0.128","0.00",1,0,0
"CU","2017-05-21","81.6","-1.5552","5.9041","Chris Iannetta",595978,643327,"field_out","hit_into_play",,,,,"14","Austin Hedges bunt grounds out, pitcher Zack Godley to first baseman Paul Goldschmidt.  ","R","R","R","SD","ARI","X","1","ground_ball",0,0,2017,"0.2708","-0.8908","0.4329","1.5989","null","null","null",0,7,"Bot","119.11","187.01",,,455104,,"170521_222240",,,,,,,"3.4889","1.7296","null","41.0","-39.0000","80.5020","2192","5.3570",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"55.1413","0.139","0.128","0.00",1,0,0
"SI","2017-05-21","91.8","-1.9323","5.7304","Chris Iannetta",605486,643327,"grounded_into_double_play","hit_into_play",,,,,"13","Cory Spangenberg grounds into a double play, second baseman Brandon Drury to shortstop Nick Ahmed to first baseman Paul Goldschmidt.   Hunter Renfroe out at 2nd.  ","R","L","R","SD","ARI","X","4","ground_ball",0,0,2017,"1.6737","0.7846","-0.8832","2.0078","null","null","592669.00",1,6,"Bot","138.40","153.95",,,455104,,"170521_221153",,,,,,,"3.3393","1.6135","9","77.2","-13.5600","90.9620","2275","5.6570",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.8418","0.072","0.068","0.00",1,0,0
"SI","2017-05-21","89.2","-1.9349","5.6439","Chris Iannetta",592669,643327,"single","hit_into_play_no_out",,,,,"5","Hunter Renfroe singles on a sharp ground ball to left fielder Yasmany Tomas.  ","R","R","R","SD","ARI","X","null","ground_ball",2,0,2017,"1.5544","0.2261","-0.0049","2.5316","null","null","null",1,6,"Bot","57.18","89.35",,,455104,,"170521_221117",,,,,,,"3.6229","1.8250","79","113.5","1.6400","88.8730","2288","5.6780",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.8205","0.578","0.550","0.90",1,1,0
"CH","2017-05-21","84.6","-2.2221","5.5366","Chris Iannetta",592669,643327,"null","ball",,,,,"13","null","R","R","R","SD","ARI","B","null","null",1,0,2017,"1.2961","0.3597","-0.4718","0.7376","null","null","null",1,6,"Bot","null","null",,,455104,,"170521_221055",,,,,,,"3.7015","1.8563","null","null","null","83.4910","1399","5.3420",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"55.1569","0.000","0.000","null","null","null","null"
"SI","2017-05-21","91.9","-1.8987","5.7382","Chris Iannetta",592669,643327,"null","ball",,,,,"14","null","R","R","R","SD","ARI","B","null","null",0,0,2017,"1.3403","0.7122","2.5135","0.5992","null","null","null",1,6,"Bot","null","null",,,455104,,"170521_221034",,,,,,,"3.5919","1.8954","null","null","null","90.4260","2303","5.5750",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.9238","0.000","0.000","null","null","null","null"
"SI","2017-05-21","89.6","-2.1750","5.8593","Chris Iannetta",572114,643327,"field_out","hit_into_play",,,,,"8","Ryan Schimpf pops out to second baseman Brandon Drury.  ","R","L","R","SD","ARI","X","4","popup",0,0,2017,"1.5590","0.7888","-0.1195","2.1110","null","null","null",0,6,"Bot","118.30","108.34",,,455104,,"170521_220955",,,,,,,"3.2455","1.6359","221","86.2","56.7080","88.0630","2266","5.4050",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"55.0939","0.012","0.012","0.00",1,0,0
"SI","2017-05-21","89.4","-1.7955","5.5008","Chris Iannetta",571976,643327,"field_out","hit_into_play",,,,,"9","Padres challenged (fan interference), call on the field was upheld: Wil Myers flies out to right fielder Chris Owings in foul territory, on fan interference.  ","R","R","R","SD","ARI","X","9","fly_ball",0,0,2017,"0.3968","0.2788","0.6953","2.2742","453385.00","622534.00","642707.00",2,5,"Bot","228.00","112.32",,,455104,,"170521_215509",,,,,,,"3.6522","1.7207","314","92.4","42.6060","89.2860","2164","6.0620",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.4365","0.011","0.017","0.00",1,0,0
